Station;Date;Temperature
WSLLAF;202201011240;10.9
WSLLAF;202201011250;10.7
WSLLAF;202201011300;10.4
WSLLAF;202201011310;10.2
WSLLAF;202201011320;11.0
WSLLAF;202201011330;11.8
WSLLAF;202201011340;11.6
WSLLAF;202201011350;11.7
WSLLAF;202201011400;11.2
WSLLAF;202201011410;11.4
WSLLAF;202201011420;11.9
WSLLAF;202201011430;11.2
WSLLAF;202201011440;10.3
WSLLAF;202201011450;10.6
WSLLAF;202201011500;10.3
WSLLAF;202201011510;10.6
WSLLAF;202201011520;10.6
WSLLAF;202201011530;10.6
WSLLAF;202201011540;9.9
WSLLAF;202201011550;9.3
WSLLAF;202201011600;8.7
WSLLAF;202201011610;8.0
WSLLAF;202201011620;8.6
WSLLAF;202201011630;8.9
WSLLAF;202201011640;8.9
WSLLAF;202201011650;7.9
WSLLAF;202201011700;7.2
WSLLAF;202201011710;8.1
WSLLAF;202201011720;8.4
WSLLAF;202201011730;8.7
WSLLAF;202201011740;8.3
WSLLAF;202201011750;7.2
WSLLAF;202201011800;7.7
WSLLAF;202201011810;8.1
WSLLAF;202201011820;7.8
WSLLAF;202201011830;7.9
WSLLAF;202201011840;6.9
WSLLAF;202201011850;6.8
WSLLAF;202201011900;7.3
WSLLAF;202201011910;6.8
WSLLAF;202201011920;6.5
WSLLAF;202201011930;7.0
WSLLAF;202201011940;7.3
WSLLAF;202201011950;7.1
WSLLAF;202201012000;7.1
WSLLAF;202201012010;7.4
WSLLAF;202201012020;7.6
WSLLAF;202201012030;7.1
WSLLAF;202201012040;6.1
WSLLAF;202201012050;6.3
WSLLAF;202201012100;6.8
WSLLAF;202201012110;7.1
WSLLAF;202201012120;7.7
WSLLAF;202201012130;6.7
WSLLAF;202201012140;7.0
WSLLAF;202201012150;7.0
WSLLAF;202201012200;6.8
WSLLAF;202201012210;5.9
WSLLAF;202201012220;6.8
WSLLAF;202201012230;7.2
WSLLAF;202201012240;7.5
WSLLAF;202201012250;7.5
WSLLAF;202201012300;6.6
WSLLAF;202201012310;6.2
WSLLAF;202201012320;5.6
WSLLAF;202201012330;5.5
WSLLAF;202201012340;5.8
WSLLAF;202201012350;6.1
WSLLAF;202201020000;5.7
WSLLAF;202201020010;5.1
WSLLAF;202201020020;4.8
WSLLAF;202201020030;5.2
WSLLAF;202201020040;5.9
WSLLAF;202201020050;6.5
WSLLAF;202201020100;6.8
WSLLAF;202201020110;6.9
WSLLAF;202201020120;6.7
WSLLAF;202201020130;6.9
WSLLAF;202201020140;6.8
WSLLAF;202201020150;7.3
WSLLAF;202201020200;7.2
WSLLAF;202201020210;6.4
WSLLAF;202201020220;6.1
WSLLAF;202201020230;5.7
WSLLAF;202201020240;6.1
WSLLAF;202201020250;7.2
WSLLAF;202201020300;7.7
WSLLAF;202201020310;5.3
WSLLAF;202201020320;4.6
WSLLAF;202201020330;4.7
WSLLAF;202201020340;5.3
WSLLAF;202201020350;6.2
WSLLAF;202201020400;6.4
WSLLAF;202201020410;6.5
WSLLAF;202201020420;7.1
WSLLAF;202201020430;6.8
WSLLAF;202201020440;6.3
WSLLAF;202201020450;6.4
WSLLAF;202201020500;7.1
WSLLAF;202201020510;7.7
WSLLAF;202201020520;7.5
WSLLAF;202201020530;7.3
WSLLAF;202201020540;7.1
WSLLAF;202201020550;7.0
WSLLAF;202201020600;7.6
WSLLAF;202201020610;7.4
WSLLAF;202201020620;6.7
WSLLAF;202201020630;5.6
WSLLAF;202201020640;6.0
WSLLAF;202201020650;6.2
WSLLAF;202201020700;6.4
WSLLAF;202201020710;6.4
WSLLAF;202201020720;6.6
WSLLAF;202201020730;6.6
WSLLAF;202201020740;6.6
WSLLAF;202201020750;6.4
WSLLAF;202201020800;6.4
WSLLAF;202201020810;6.7
WSLLAF;202201020820;7.0
WSLLAF;202201020830;6.7
WSLLAF;202201020840;6.7
WSLLAF;202201020850;6.9
WSLLAF;202201020900;7.3
WSLLAF;202201020910;7.8
WSLLAF;202201020920;8.4
WSLLAF;202201020930;8.4
WSLLAF;202201020940;8.9
WSLLAF;202201020950;9.4
WSLLAF;202201021000;9.5
WSLLAF;202201021010;9.0
WSLLAF;202201021020;8.6
WSLLAF;202201021030;8.3
WSLLAF;202201021040;8.2
WSLLAF;202201021050;8.3
WSLLAF;202201021100;8.8
WSLLAF;202201021110;8.9
WSLLAF;202201021120;8.9
WSLLAF;202201021130;9.7
WSLLAF;202201021140;11.1
WSLLAF;202201021150;11.1
WSLLAF;202201021200;10.2
WSLLAF;202201021210;10.3
WSLLAF;202201021220;10.6
WSLLAF;202201021230;10.1
WSLLAF;202201021240;9.5
WSLLAF;202201021250;9.5
WSLLAF;202201021300;9.2
WSLLAF;202201021310;9.1
WSLLAF;202201021320;9.0
WSLLAF;202201021330;9.0
WSLLAF;202201021340;8.9
WSLLAF;202201021350;9.0
WSLLAF;202201021400;9.4
WSLLAF;202201021410;9.7
WSLLAF;202201021420;9.9
WSLLAF;202201021430;9.8
WSLLAF;202201021440;9.9
WSLLAF;202201021450;10.2
WSLLAF;202201021500;10.0
WSLLAF;202201021510;10.2
WSLLAF;202201021520;10.3
WSLLAF;202201021530;10.3
WSLLAF;202201021540;10.1
WSLLAF;202201021550;10.5
WSLLAF;202201021600;10.6
WSLLAF;202201021610;10.6
WSLLAF;202201021620;10.3
WSLLAF;202201021630;10.3
WSLLAF;202201021640;10.4
WSLLAF;202201021650;10.2
WSLLAF;202201021700;9.8
WSLLAF;202201021710;9.4
WSLLAF;202201021720;9.4
WSLLAF;202201021730;9.4
WSLLAF;202201021740;9.3
WSLLAF;202201021750;9.4
WSLLAF;202201021800;9.4
WSLLAF;202201021810;9.3
WSLLAF;202201021820;9.4
WSLLAF;202201021830;9.5
WSLLAF;202201021840;9.5
WSLLAF;202201021850;9.5
WSLLAF;202201021900;9.4
WSLLAF;202201021910;9.4
WSLLAF;202201021920;9.7
WSLLAF;202201021930;9.6
WSLLAF;202201021940;9.6
WSLLAF;202201021950;9.4
WSLLAF;202201022000;9.0
WSLLAF;202201022010;9.2
WSLLAF;202201022020;9.7
WSLLAF;202201022030;9.8
WSLLAF;202201022040;9.7
WSLLAF;202201022050;9.4
WSLLAF;202201022100;9.1
WSLLAF;202201022110;9.3
WSLLAF;202201022120;9.1
WSLLAF;202201022130;8.6
WSLLAF;202201022140;8.5
WSLLAF;202201022150;8.6
WSLLAF;202201022200;8.5
WSLLAF;202201022210;8.5
WSLLAF;202201022220;8.4
WSLLAF;202201022230;8.3
WSLLAF;202201022240;8.2
WSLLAF;202201022250;8.2
WSLLAF;202201022300;8.2
WSLLAF;202201022310;8.0
WSLLAF;202201022320;8.0
WSLLAF;202201022330;8.1
WSLLAF;202201022340;8.0
WSLLAF;202201022350;7.9
WSLLAF;202201030000;7.9
WSLLAF;202201030010;8.0
WSLLAF;202201030020;8.0
WSLLAF;202201030030;8.0
WSLLAF;202201030040;7.9
WSLLAF;202201030050;7.8
WSLLAF;202201030100;7.8
WSLLAF;202201030110;7.9
WSLLAF;202201030120;8.0
WSLLAF;202201030130;7.9
WSLLAF;202201030140;8.0
WSLLAF;202201030150;8.0
WSLLAF;202201030200;8.0
WSLLAF;202201030210;7.9
WSLLAF;202201030220;7.7
WSLLAF;202201030230;7.5
WSLLAF;202201030240;7.5
WSLLAF;202201030250;7.5
WSLLAF;202201030300;7.5
WSLLAF;202201030310;7.5
WSLLAF;202201030320;7.6
WSLLAF;202201030330;7.5
WSLLAF;202201030340;7.5
WSLLAF;202201030350;7.3
WSLLAF;202201030400;7.2
WSLLAF;202201030410;7.0
WSLLAF;202201030420;7.0
WSLLAF;202201030430;6.9
WSLLAF;202201030440;7.1
WSLLAF;202201030450;7.1
WSLLAF;202201030500;7.1
WSLLAF;202201030510;7.1
WSLLAF;202201030520;7.1
WSLLAF;202201030530;7.2
WSLLAF;202201030540;7.2
WSLLAF;202201030550;7.2
WSLLAF;202201030600;7.1
WSLLAF;202201030610;7.1
WSLLAF;202201030620;7.0
WSLLAF;202201030630;7.1
WSLLAF;202201030640;7.2
WSLLAF;202201030650;7.1
WSLLAF;202201030700;7.0
WSLLAF;202201030710;7.1
WSLLAF;202201030720;7.2
WSLLAF;202201030730;7.3
WSLLAF;202201030740;7.3
WSLLAF;202201030750;7.2
WSLLAF;202201030800;7.2
WSLLAF;202201030810;-
WSLLAF;202201030820;7.1
WSLLAF;202201030830;7.1
WSLLAF;202201030840;7.2
WSLLAF;202201030850;7.4
WSLLAF;202201030900;7.4
WSLLAF;202201030910;7.3
WSLLAF;202201030920;7.3
WSLLAF;202201030930;7.3
WSLLAF;202201030940;7.3
WSLLAF;202201030950;7.2
WSLLAF;202201031000;7.6
WSLLAF;202201031010;7.9
WSLLAF;202201031020;8.1
WSLLAF;202201031030;8.1
WSLLAF;202201031040;7.6
WSLLAF;202201031050;7.4
WSLLAF;202201031100;7.7
WSLLAF;202201031110;8.0
WSLLAF;202201031120;8.1
WSLLAF;202201031130;7.9
WSLLAF;202201031140;8.0
WSLLAF;202201031150;8.2
WSLLAF;202201031200;8.3
WSLLAF;202201031210;8.6
WSLLAF;202201031220;8.6
WSLLAF;202201031230;8.5
WSLLAF;202201031240;8.5
WSLLAF;202201031250;8.5
WSLLAF;202201031300;8.4
WSLLAF;202201031310;8.3
WSLLAF;202201031320;8.2
WSLLAF;202201031330;8.2
WSLLAF;202201031340;8.2
WSLLAF;202201031350;8.0
WSLLAF;202201031400;7.8
WSLLAF;202201031410;7.9
WSLLAF;202201031420;7.9
WSLLAF;202201031430;7.8
WSLLAF;202201031440;7.8
WSLLAF;202201031450;7.9
WSLLAF;202201031500;7.9
WSLLAF;202201031510;7.8
WSLLAF;202201031520;7.8
WSLLAF;202201031530;7.7
WSLLAF;202201031540;7.7
WSLLAF;202201031550;7.6
WSLLAF;202201031600;7.5
WSLLAF;202201031610;7.5
WSLLAF;202201031620;7.6
WSLLAF;202201031630;7.8
WSLLAF;202201031640;7.7
WSLLAF;202201031650;7.7
WSLLAF;202201031700;7.7
WSLLAF;202201031710;7.6
WSLLAF;202201031720;7.5
WSLLAF;202201031730;7.6
WSLLAF;202201031740;7.5
WSLLAF;202201031750;7.4
WSLLAF;202201031800;7.3
WSLLAF;202201031810;7.5
WSLLAF;202201031820;7.6
WSLLAF;202201031830;7.6
WSLLAF;202201031840;7.6
WSLLAF;202201031850;7.4
WSLLAF;202201031900;7.3
WSLLAF;202201031910;7.3
WSLLAF;202201031920;7.2
WSLLAF;202201031930;7.0
WSLLAF;202201031940;6.8
WSLLAF;202201031950;6.8
WSLLAF;202201032000;7.1
WSLLAF;202201032010;7.2
WSLLAF;202201032020;7.0
WSLLAF;202201032030;6.8
WSLLAF;202201032040;6.7
WSLLAF;202201032050;6.7
WSLLAF;202201032100;6.7
WSLLAF;202201032110;6.7
WSLLAF;202201032120;6.8
WSLLAF;202201032130;6.8
WSLLAF;202201032140;6.9
WSLLAF;202201032150;6.9
WSLLAF;202201032200;6.8
WSLLAF;202201032210;6.8
WSLLAF;202201032220;6.9
WSLLAF;202201032230;6.8
WSLLAF;202201032240;6.6
WSLLAF;202201032250;6.5
WSLLAF;202201032300;6.5
WSLLAF;202201032310;6.6
WSLLAF;202201032320;6.7
WSLLAF;202201032330;6.8
WSLLAF;202201032340;7.0
WSLLAF;202201032350;7.0
WSLLAF;202201040000;6.8
WSLLAF;202201040010;6.7
WSLLAF;202201040020;6.9
WSLLAF;202201040030;7.2
WSLLAF;202201040040;7.2
WSLLAF;202201040050;7.3
WSLLAF;202201040100;7.3
WSLLAF;202201040110;7.1
WSLLAF;202201040120;6.7
WSLLAF;202201040130;6.4
WSLLAF;202201040140;6.2
WSLLAF;202201040150;6.3
WSLLAF;202201040200;6.4
WSLLAF;202201040210;6.3
WSLLAF;202201040220;6.3
WSLLAF;202201040230;6.1
WSLLAF;202201040240;5.9
WSLLAF;202201040250;5.9
WSLLAF;202201040300;5.8
WSLLAF;202201040310;5.8
WSLLAF;202201040320;5.8
WSLLAF;202201040330;5.7
WSLLAF;202201040340;5.7
WSLLAF;202201040350;5.6
WSLLAF;202201040400;5.5
WSLLAF;202201040410;5.5
WSLLAF;202201040420;5.4
WSLLAF;202201040430;5.4
WSLLAF;202201040440;5.5
WSLLAF;202201040450;5.6
WSLLAF;202201040500;5.7
WSLLAF;202201040510;5.8
WSLLAF;202201040520;5.7
WSLLAF;202201040530;5.5
WSLLAF;202201040540;5.3
WSLLAF;202201040550;5.3
WSLLAF;202201040600;5.6
WSLLAF;202201040610;5.6
WSLLAF;202201040620;5.7
WSLLAF;202201040630;6.0
WSLLAF;202201040640;6.1
WSLLAF;202201040650;6.0
WSLLAF;202201040700;5.9
WSLLAF;202201040710;5.9
WSLLAF;202201040720;5.9
WSLLAF;202201040730;6.2
WSLLAF;202201040740;6.3
WSLLAF;202201040750;6.3
WSLLAF;202201040800;6.3
WSLLAF;202201040810;6.4
WSLLAF;202201040820;6.7
WSLLAF;202201040830;6.8
WSLLAF;202201040840;6.9
WSLLAF;202201040850;7.1
WSLLAF;202201040900;7.7
WSLLAF;202201040910;7.9
WSLLAF;202201040920;7.9
WSLLAF;202201040930;8.0
WSLLAF;202201040940;8.1
WSLLAF;202201040950;8.0
WSLLAF;202201041000;8.1
WSLLAF;202201041010;8.3
WSLLAF;202201041020;8.6
WSLLAF;202201041030;8.8
WSLLAF;202201041040;8.9
WSLLAF;202201041050;8.8
WSLLAF;202201041100;9.0
WSLLAF;202201041110;9.3
WSLLAF;202201041120;9.5
WSLLAF;202201041130;9.6
WSLLAF;202201041140;9.7
WSLLAF;202201041150;10.0
WSLLAF;202201041200;10.2
WSLLAF;202201041210;10.4
WSLLAF;202201041220;10.6
WSLLAF;202201041230;10.7
WSLLAF;202201041240;10.7
WSLLAF;202201041250;10.6
WSLLAF;202201041300;10.7
WSLLAF;202201041310;10.9
WSLLAF;202201041320;10.8
WSLLAF;202201041330;10.9
WSLLAF;202201041340;11.0
WSLLAF;202201041350;11.2
WSLLAF;202201041400;11.3
WSLLAF;202201041410;11.3
WSLLAF;202201041420;11.4
WSLLAF;202201041430;11.4
WSLLAF;202201041440;11.4
WSLLAF;202201041450;11.6
WSLLAF;202201041500;11.5
WSLLAF;202201041510;11.4
WSLLAF;202201041520;11.3
WSLLAF;202201041530;11.3
WSLLAF;202201041540;11.2
WSLLAF;202201041550;11.2
WSLLAF;202201041600;11.1
WSLLAF;202201041610;11.1
WSLLAF;202201041620;10.9
WSLLAF;202201041630;10.8
WSLLAF;202201041640;10.7
WSLLAF;202201041650;10.7
WSLLAF;202201041700;10.6
WSLLAF;202201041710;10.5
WSLLAF;202201041720;10.1
WSLLAF;202201041730;10.1
WSLLAF;202201041740;10.0
WSLLAF;202201041750;10.0
WSLLAF;202201041800;10.0
WSLLAF;202201041810;10.1
WSLLAF;202201041820;10.2
WSLLAF;202201041830;10.4
WSLLAF;202201041840;10.4
WSLLAF;202201041850;10.3
WSLLAF;202201041900;10.3
WSLLAF;202201041910;10.4
WSLLAF;202201041920;10.4
WSLLAF;202201041930;10.4
WSLLAF;202201041940;10.3
WSLLAF;202201041950;10.3
WSLLAF;202201042000;10.3
WSLLAF;202201042010;10.4
WSLLAF;202201042020;10.3
WSLLAF;202201042030;10.1
WSLLAF;202201042040;9.5
WSLLAF;202201042050;8.9
WSLLAF;202201042100;8.5
WSLLAF;202201042110;8.2
WSLLAF;202201042120;8.0
WSLLAF;202201042130;8.0
WSLLAF;202201042140;7.9
WSLLAF;202201042150;7.3
WSLLAF;202201042200;5.6
WSLLAF;202201042210;4.8
WSLLAF;202201042220;4.5
WSLLAF;202201042230;4.3
WSLLAF;202201042240;3.9
WSLLAF;202201042250;3.7
WSLLAF;202201042300;3.5
WSLLAF;202201042310;3.2
WSLLAF;202201042320;3.2
WSLLAF;202201042330;3.1
WSLLAF;202201042340;3.1
WSLLAF;202201042350;3.2
WSLLAF;202201050000;3.1
WSLLAF;202201050010;3.2
WSLLAF;202201050020;3.2
WSLLAF;202201050030;3.1
WSLLAF;202201050040;2.8
WSLLAF;202201050050;2.4
WSLLAF;202201050100;2.2
WSLLAF;202201050110;2.0
WSLLAF;202201050120;1.8
WSLLAF;202201050130;1.7
WSLLAF;202201050140;1.5
WSLLAF;202201050150;1.3
WSLLAF;202201050200;1.2
WSLLAF;202201050210;0.9
WSLLAF;202201050220;0.6
WSLLAF;202201050230;0.6
WSLLAF;202201050240;0.6
WSLLAF;202201050250;0.7
WSLLAF;202201050300;0.8
WSLLAF;202201050310;1.0
WSLLAF;202201050320;1.3
WSLLAF;202201050330;1.4
WSLLAF;202201050340;1.6
WSLLAF;202201050350;1.6
WSLLAF;202201050400;1.4
WSLLAF;202201050410;1.2
WSLLAF;202201050420;1.2
WSLLAF;202201050430;1.2
WSLLAF;202201050440;1.2
WSLLAF;202201050450;1.3
WSLLAF;202201050500;1.3
WSLLAF;202201050510;1.2
WSLLAF;202201050520;1.1
WSLLAF;202201050530;1.0
WSLLAF;202201050540;1.0
WSLLAF;202201050550;0.9
WSLLAF;202201050600;0.9
WSLLAF;202201050610;0.9
WSLLAF;202201050620;0.9
WSLLAF;202201050630;0.8
WSLLAF;202201050640;0.7
WSLLAF;202201050650;0.6
WSLLAF;202201050700;0.5
WSLLAF;202201050710;0.5
WSLLAF;202201050720;0.4
WSLLAF;202201050730;0.4
WSLLAF;202201050740;0.4
WSLLAF;202201050750;0.1
WSLLAF;202201050800;-0.1
WSLLAF;202201050810;-0.3
WSLLAF;202201050820;-0.4
WSLLAF;202201050830;-0.4
WSLLAF;202201050840;-0.4
WSLLAF;202201050850;-0.6
WSLLAF;202201050900;-0.6
WSLLAF;202201050910;-0.8
WSLLAF;202201050920;-0.8
WSLLAF;202201050930;-0.9
WSLLAF;202201050940;-0.9
WSLLAF;202201050950;-1.0
WSLLAF;202201051000;-0.9
WSLLAF;202201051010;-0.9
WSLLAF;202201051020;-0.9
WSLLAF;202201051030;-0.9
WSLLAF;202201051040;-0.9
WSLLAF;202201051050;-0.9
WSLLAF;202201051100;-0.8
WSLLAF;202201051110;-0.8
WSLLAF;202201051120;-0.8
WSLLAF;202201051130;-0.6
WSLLAF;202201051140;-0.4
WSLLAF;202201051150;-0.3
WSLLAF;202201051200;-0.3
WSLLAF;202201051210;0.1
WSLLAF;202201051220;0.7
WSLLAF;202201051230;1.1
WSLLAF;202201051240;1.3
WSLLAF;202201051250;1.5
WSLLAF;202201051300;1.1
WSLLAF;202201051310;1.0
WSLLAF;202201051320;0.8
WSLLAF;202201051330;0.7
WSLLAF;202201051340;0.8
WSLLAF;202201051350;1.1
WSLLAF;202201051400;1.0
WSLLAF;202201051410;1.0
WSLLAF;202201051420;1.1
WSLLAF;202201051430;0.8
WSLLAF;202201051440;0.4
WSLLAF;202201051450;-0.1
WSLLAF;202201051500;-0.1
WSLLAF;202201051510;-0.6
WSLLAF;202201051520;-0.8
WSLLAF;202201051530;-0.9
WSLLAF;202201051540;-0.9
WSLLAF;202201051550;-0.9
WSLLAF;202201051600;-0.9
WSLLAF;202201051610;-1.1
WSLLAF;202201051620;-1.3
WSLLAF;202201051630;-1.4
WSLLAF;202201051640;-1.5
WSLLAF;202201051650;-1.6
WSLLAF;202201051700;-1.6
WSLLAF;202201051710;-1.6
WSLLAF;202201051720;-1.6
WSLLAF;202201051730;-1.6
WSLLAF;202201051740;-1.7
WSLLAF;202201051750;-1.7
WSLLAF;202201051800;-1.8
WSLLAF;202201051810;-1.8
WSLLAF;202201051820;-1.8
WSLLAF;202201051830;-1.8
WSLLAF;202201051840;-1.9
WSLLAF;202201051850;-1.8
WSLLAF;202201051900;-1.7
WSLLAF;202201051910;-1.7
WSLLAF;202201051920;-1.7
WSLLAF;202201051930;-1.8
WSLLAF;202201051940;-1.7
WSLLAF;202201051950;-1.7
WSLLAF;202201052000;-1.7
WSLLAF;202201052010;-1.9
WSLLAF;202201052020;-1.9
WSLLAF;202201052030;-1.9
WSLLAF;202201052040;-1.9
WSLLAF;202201052050;-1.8
WSLLAF;202201052100;-1.8
WSLLAF;202201052110;-1.8
WSLLAF;202201052120;-1.8
WSLLAF;202201052130;-1.8
WSLLAF;202201052140;-1.8
WSLLAF;202201052150;-1.9
WSLLAF;202201052200;-1.8
WSLLAF;202201052210;-1.8
WSLLAF;202201052220;-1.8
WSLLAF;202201052230;-1.8
WSLLAF;202201052240;-1.9
WSLLAF;202201052250;-1.9
WSLLAF;202201052300;-1.9
WSLLAF;202201052310;-1.9
WSLLAF;202201052320;-1.9
WSLLAF;202201052330;-1.8
WSLLAF;202201052340;-1.9
WSLLAF;202201052350;-1.9
WSLLAF;202201060000;-1.9
WSLLAF;202201060010;-1.9
WSLLAF;202201060020;-1.9
WSLLAF;202201060030;-1.8
WSLLAF;202201060040;-1.9
WSLLAF;202201060050;-1.9
WSLLAF;202201060100;-1.9
WSLLAF;202201060110;-1.9
WSLLAF;202201060120;-1.9
WSLLAF;202201060130;-1.9
WSLLAF;202201060140;-2.0
WSLLAF;202201060150;-2.0
WSLLAF;202201060200;-2.0
WSLLAF;202201060210;-2.1
WSLLAF;202201060220;-2.1
WSLLAF;202201060230;-2.1
WSLLAF;202201060240;-2.1
WSLLAF;202201060250;-2.1
WSLLAF;202201060300;-2.1
WSLLAF;202201060310;-2.0
WSLLAF;202201060320;-1.9
WSLLAF;202201060330;-2.0
WSLLAF;202201060340;-2.2
WSLLAF;202201060350;-2.4
WSLLAF;202201060400;-2.5
WSLLAF;202201060410;-2.6
WSLLAF;202201060420;-2.6
WSLLAF;202201060430;-2.7
WSLLAF;202201060440;-2.8
WSLLAF;202201060450;-3.0
WSLLAF;202201060500;-3.0
WSLLAF;202201060510;-2.9
WSLLAF;202201060520;-2.9
WSLLAF;202201060530;-2.8
WSLLAF;202201060540;-2.8
WSLLAF;202201060550;-2.9
WSLLAF;202201060600;-2.9
WSLLAF;202201060610;-2.9
WSLLAF;202201060620;-2.8
WSLLAF;202201060630;-3.0
WSLLAF;202201060640;-3.0
WSLLAF;202201060650;-3.0
WSLLAF;202201060700;-2.8
WSLLAF;202201060710;-2.7
WSLLAF;202201060720;-2.7
WSLLAF;202201060730;-2.8
WSLLAF;202201060740;-2.7
WSLLAF;202201060750;-2.5
WSLLAF;202201060800;-2.5
WSLLAF;202201060810;-2.5
WSLLAF;202201060820;-1.9
WSLLAF;202201060830;-1.3
WSLLAF;202201060840;-1.0
WSLLAF;202201060850;-1.1
WSLLAF;202201060900;-0.7
WSLLAF;202201060910;-0.5
WSLLAF;202201060920;-0.3
WSLLAF;202201060930;-0.1
WSLLAF;202201060940;0.2
WSLLAF;202201060950;0.3
WSLLAF;202201061000;0.7
WSLLAF;202201061010;-
WSLLAF;202201061020;0.8
WSLLAF;202201061030;0.8
WSLLAF;202201061040;0.9
WSLLAF;202201061050;0.9
WSLLAF;202201061100;1.1
WSLLAF;202201061110;1.1
WSLLAF;202201061120;1.2
WSLLAF;202201061130;1.2
WSLLAF;202201061140;1.2
WSLLAF;202201061150;1.4
WSLLAF;202201061200;1.7
WSLLAF;202201061210;1.7
WSLLAF;202201061220;1.6
WSLLAF;202201061230;1.6
WSLLAF;202201061240;1.7
WSLLAF;202201061250;1.7
WSLLAF;202201061300;1.2
WSLLAF;202201061310;1.5
WSLLAF;202201061320;1.8
WSLLAF;202201061330;2.0
WSLLAF;202201061340;1.3
WSLLAF;202201061350;1.2
WSLLAF;202201061400;1.8
WSLLAF;202201061410;-
WSLLAF;202201061420;1.6
WSLLAF;202201061430;1.6
WSLLAF;202201061440;1.5
WSLLAF;202201061450;1.4
WSLLAF;202201061500;1.4
WSLLAF;202201061510;1.3
WSLLAF;202201061520;1.0
WSLLAF;202201061530;0.8
WSLLAF;202201061540;0.6
WSLLAF;202201061550;0.3
WSLLAF;202201061600;0.1
WSLLAF;202201061610;-0.2
WSLLAF;202201061620;-0.4
WSLLAF;202201061630;-0.4
WSLLAF;202201061640;-0.5
WSLLAF;202201061650;-0.6
WSLLAF;202201061700;-0.8
WSLLAF;202201061710;-0.8
WSLLAF;202201061720;-0.9
WSLLAF;202201061730;-1.0
WSLLAF;202201061740;-1.1
WSLLAF;202201061750;-1.2
WSLLAF;202201061800;-1.3
WSLLAF;202201061810;-1.4
WSLLAF;202201061820;-1.5
WSLLAF;202201061830;-1.5
WSLLAF;202201061840;-1.6
WSLLAF;202201061850;-1.7
WSLLAF;202201061900;-1.8
WSLLAF;202201061910;-1.9
WSLLAF;202201061920;-2.0
WSLLAF;202201061930;-2.1
WSLLAF;202201061940;-2.0
WSLLAF;202201061950;-2.1
WSLLAF;202201062000;-2.1
WSLLAF;202201062010;-2.1
WSLLAF;202201062020;-2.1
WSLLAF;202201062030;-2.2
WSLLAF;202201062040;-2.1
WSLLAF;202201062050;-2.2
WSLLAF;202201062100;-2.3
WSLLAF;202201062110;-2.5
WSLLAF;202201062120;-2.6
WSLLAF;202201062130;-2.5
WSLLAF;202201062140;-2.6
WSLLAF;202201062150;-2.6
WSLLAF;202201062200;-2.5
WSLLAF;202201062210;-2.7
WSLLAF;202201062220;-2.8
WSLLAF;202201062230;-2.9
WSLLAF;202201062240;-3.0
WSLLAF;202201062250;-2.9
WSLLAF;202201062300;-3.5
WSLLAF;202201062310;-3.3
WSLLAF;202201062320;-3.1
WSLLAF;202201062330;-2.8
